class,path,data
a,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023001T042927.v2.0
a,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023002T042314.v2.0
b,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023009T042923.v2.0
b,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023010T042316.v2.0
c,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023017T042921.v2.0
c,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023018T042306.v2.0
d,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023025T042922.v2.0
e,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023026T042313.v2.0
f,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023033T042929.v2.0
f,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023034T042312.v2.0
g,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023041T042920.v2.0
g,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023042T042320.v2.0
h,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023050T042301.v2.0
i,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023057T042904.v2.0
i,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023058T042305.v2.0
j,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023065T042912.v2.0
j,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023066T042249.v2.0
k,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023073T042858.v2.0
k,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023074T042258.v2.0
l,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023081T042906.v2.0
m,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023082T042240.v2.0
n,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023090T042247.v2.0
o,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023097T042856.v2.0
o,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023098T042227.v2.0
p,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023105T042833.v2.0
p,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023106T042240.v2.0
q,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023113T042850.v2.0
q,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023114T042220.v2.0
r,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023121T042829.v2.0
r,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023122T042231.v2.0
s,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023129T042839.v2.0
s,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023130T042209.v2.0
t,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023137T042815.v2.0
u,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023138T042224.v2.0
v,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023145T042829.v2.0
v,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023146T042208.v2.0
w,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023153T042819.v2.0
w,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023154T042217.v2.0
x,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023161T042824.v2.0
x,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023162T042215.v2.0
y,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023169T042828.v2.0
y,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023170T042233.v2.0
z,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023177T042820.v2.0
z,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023178T042222.v2.0
0,./2023/crop/L8_bis_crop,0
0,./2023/crop/L8_bis_crop,0
0,./2023/crop/L8_bis_crop,0
aa,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023201T042842.v2.0
aa,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023202T042225.v2.0
ab,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023209T042838.v2.0
ab,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023210T042238.v2.0
ac,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023218T042234.v2.0
ad,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023225T042847.v2.0
ad,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023226T042243.v2.0
ae,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023233T042859.v2.0
ae,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023234T042240.v2.0
af,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023241T042856.v2.0
af,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023242T042249.v2.0
ag,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023249T042858.v2.0
