class,path,data
a,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023001T042927.v2.0
a,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023002T042314.v2.0
b,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023009T042923.v2.0
b,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023010T042316.v2.0
c,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023017T042921.v2.0
c,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023018T042306.v2.0
d,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023025T042922.v2.0
e,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023026T042313.v2.0
f,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023033T042929.v2.0
f,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023034T042312.v2.0
g,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023041T042920.v2.0
g,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023042T042320.v2.0
h,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023050T042301.v2.0
i,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023057T042904.v2.0
i,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023058T042305.v2.0
j,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023065T042912.v2.0
j,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023066T042249.v2.0
k,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023073T042858.v2.0
k,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023074T042258.v2.0
l,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023081T042906.v2.0
m,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023082T042240.v2.0
n,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023090T042247.v2.0
o,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023097T042856.v2.0
o,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023098T042227.v2.0
p,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023105T042833.v2.0
p,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023106T042240.v2.0
q,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023113T042850.v2.0
q,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023114T042220.v2.0
r,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023121T042829.v2.0
r,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023122T042231.v2.0
s,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023129T042839.v2.0
s,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023130T042209.v2.0
t,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023137T042815.v2.0
u,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023138T042224.v2.0
v,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023145T042829.v2.0
v,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023146T042208.v2.0
w,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023153T042819.v2.0
w,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023154T042217.v2.0
x,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023161T042824.v2.0
x,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023162T042215.v2.0
y,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023169T042828.v2.0
y,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023170T042233.v2.0
z,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023177T042820.v2.0
z,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023178T042222.v2.0
0,/home/paudisio/Desktop/2023/crop/L8_bis_crop,0
0,/home/paudisio/Desktop/2023/crop/L8_bis_crop,0
0,/home/paudisio/Desktop/2023/crop/L8_bis_crop,0
aa,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023201T042842.v2.0
aa,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023202T042225.v2.0
ab,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023209T042838.v2.0
ab,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023210T042238.v2.0
ac,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023218T042234.v2.0
ad,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023225T042847.v2.0
ad,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023226T042243.v2.0
ae,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023233T042859.v2.0
ae,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023234T042240.v2.0
af,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023241T042856.v2.0
af,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023242T042249.v2.0
ag,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023249T042858.v2.0
ah,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023250T042250.v2.0
ai,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023257T042905.v2.0
ai,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023258T042253.v2.0
aj,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023265T042904.v2.0
aj,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023266T042252.v2.0
ak,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023273T042902.v2.0
ak,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023274T042257.v2.0
al,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023281T042908.v2.0
al,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023282T042258.v2.0
